Asset_1,Asset_2,ADF Statistic,P Value,Stationary,Beta
IVV,VGT,-3.2013993217869965,0.0199038237257836,True,0.778926444735844
SPY,VGT,-3.156174687813657,0.02266578630254499,True,0.7758822991324967
XLF,SPY,-3.0921491507088117,0.027139668328627325,True,1.0284236651139722
XLF,IVV,-3.0708178923945164,0.028789533252096627,True,1.0243028054334555
SPY,IVV,-3.0400283267342547,0.03132160531202716,True,0.9960673865943791
XLF,VGT,-2.998971079180646,0.03499060032362112,True,0.7656626434663403
GDX,VDE,-2.921730815386133,0.042878729399342196,True,-0.033660202508131024
GDX,XLE,-2.9211949697220487,0.04293824369524792,True,-0.03380292850765787
GDX,QQQ,-2.8856027129741966,0.04704800423556894,True,0.2282798508242399
GDX,VGT,-2.868478593587242,0.04913821380714415,True,0.193036485113654
