Asset_1,Asset_2,Cointegration_Score,P_Value
IVV,VGT,-3.2024767930133424,0.06951457625702527
SPY,VGT,-3.157230231569032,0.07737628078341993
XLF,SPY,-3.0930660020029985,0.08970399364292725
XLF,IVV,-3.071727204184587,0.09412371162943733
SPY,IVV,-3.0392906373332464,0.1011588669730627
XLF,VGT,-2.9998701561408843,0.11023636190809383
GDX,VDE,-2.922918986400874,0.1296830555001215
GDX,XLE,-2.922381689671062,0.12982705735290412
GDX,QQQ,-2.886752092942495,0.13963543169621834
GDX,VGT,-2.869612580193984,0.14453699360676542
GDX,SPY,-2.838795010056032,0.15365262219049142
GDX,IVV,-2.838379514607551,0.15377819068333926
XLF,QQQ,-2.800530121257686,0.1655160646202381
KBE,QQQ,-2.606135827534493,0.23436480822025435
KBE,VGT,-2.573185078015007,0.24777956673474932
KBE,SPY,-2.5415277432755974,0.2610674972842537
KBE,IVV,-2.4849812773321807,0.2857326142929088
SPY,QQQ,-2.402897012968588,0.32348411286297674
IVV,QQQ,-2.3922766790594254,0.32852161302533234
GLD,VGT,-2.339470058353139,0.3540317387727062
QQQ,VGT,-2.247020593674905,0.4002650407280403
GLD,IVV,-2.1424928715521143,0.45418601248637586
GLD,SPY,-2.1407513244779577,0.4550933723506926
KBE,GLD,-2.1244538840493767,0.4635928031395679
GLD,QQQ,-2.0947713515499675,0.4791006552830901
XLF,GLD,-2.087401340415472,0.4829543066995552
XLE,VDE,-2.070736024787577,0.49166931452026136
XLE,VGT,-1.7417000671755618,0.6575839808314397
KBE,VDE,-1.7414652725052868,0.657694249864168
XLF,KBE,-1.7327025422497835,0.6617978513124244
KBE,XLE,-1.728570728108039,0.6637247855741293
VDE,VGT,-1.678414244886165,0.6866894693500487
KBE,GDX,-1.6501824720509244,0.6992515189857029
XLE,QQQ,-1.6276256930786848,0.7090897544458356
VDE,QQQ,-1.6254249606624682,0.7100399352800231
VDE,IVV,-1.490473752242733,0.7648268279191354
VDE,SPY,-1.4856952759994617,0.7666363516445476
XLE,IVV,-1.4236169070810691,0.7893034268003083
XLE,SPY,-1.4205580220960672,0.7903796795907142
GLD,VDE,-1.2040863747448998,0.8568276848060824
GLD,XLE,-1.198268689623846,0.8583537137637409
XLF,VDE,-1.0100163516165115,0.9009310114887765
XLF,XLE,-0.989989618237778,0.9047293842937896
XLF,GDX,-0.9122112011432393,0.9182728225856454
GLD,GDX,-0.23020541757534413,0.9788528276885972
