Asset_1,Asset_2,Beta,Kappa,Mu,Sigma,Half_Life_Days
SPY,IVV,0.9960673865943791,1.0151756426887868,0.02163180345853875,0.00043294897957973054,0.6827854722007324
GDX,QQQ,0.2282798508242399,0.01702569613368747,2.1056083770382443,0.02437192706806961,40.711826119606755
GDX,VGT,0.193036485113654,0.016742417799819206,2.684100470155849,0.024478881237171058,41.40066200996551
GDX,VDE,-0.033660202508131024,0.01600479384987746,3.5859049135952783,0.025290446285069934,43.308722815274024
GDX,XLE,-0.03380292850765787,0.016001139989946445,3.5518258685100097,0.02529108219569468,43.31861236108498
IVV,VGT,0.778926444735844,0.014042210635157091,2.972785059685234,0.005055442136308017,49.361685176871795
SPY,VGT,0.7758822991324967,0.013593892939903904,2.982536441249277,0.004941730990080571,50.98960125875798
XLF,SPY,1.0284236651139722,0.012287096740248693,-2.698261598939418,0.008751549808096367,56.41260870758928
XLF,IVV,1.0243028054334555,0.012091967886863323,-2.67567631698563,0.008680603121201697,57.322942555361756
XLF,VGT,0.7656626434663403,0.011738442605193591,0.49454051756243755,0.01260129259143884,59.04933080758662
